concept_id,concept_name,Keep,hx
4336384,Opioid withdrawal,0,na
4105930,Opioid-induced mood disorder,0,na
37016268,Opioid-induced mood disorder due to opioid abuse,0,na
37018689,Opioid-induced mood disorder due to opioid dependence,0,na
4032799,Opioid-induced organic mental disorder,0,na
4067987,Opioid-induced psychotic disorder with delusions,0,na
4024296,Opioid-induced psychotic disorder with hallucinations,0,na
4323580,Opioid-induced sexual dysfunction,0,na
441547,Oppositional defiant disorder,0,na
381537,Organic anxiety disorder,1,anxiety
4335159,Organic catatonic disorder,1,psychosis
375229,Organic delusional disorder,1,psychosis
4090012,Organic disorder of body schema,0,na
373175,Organic hallucinosis,1,psychosis
4103572,Organic memory impairment,0,na
374009,Organic mental disorder,0,na
4023986,Organic mental disorder of unknown etiology,0,na
373176,Organic mood disorder,0,na
4175329,Organic mood disorder of depressed type,1,depression
4237734,Organic mood disorder of manic type,1,bipolar
4307518,Organic mood disorder of mixed type,1,bipolar
380375,Organic personality disorder,0,na
4100247,Organic psychotic condition,1,psychosis
4221288,Orgasm disorder,0,na
4092101,Orientated,0,na
4196358,Panic,1,anxiety
4021498,Panic attack,1,anxiety
436074,Panic disorder,1,anxiety
4147466,Panic disorder with agoraphobia,1,anxiety
4217601,Panic disorder with agoraphobia AND moderate panic attacks,1,anxiety
4204708,Panic disorder with agoraphobia AND severe panic attacks,1,anxiety
4246992,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",1,anxiety
4211231,Panic disorder without agoraphobia,1,anxiety
4218624,Panic disorder without agoraphobia with mild panic attacks,1,anxiety
4277739,Panic disorder without agoraphobia with moderate panic attacks,1,anxiety
4221253,Panic disorder without agoraphobia with panic attacks in full remission,1,anxiety
4182119,Panic disorder without agoraphobia with severe panic attacks,1,anxiety
4102670,Paranoid disorder,1,psychosis
440691,Paranoid personality disorder,0,na
433450,Paranoid schizophrenia,1,schizo
435217,Paranoid schizophrenia in remission,1,schizo
4173740,Paraphilia,0,na
37110485,Paraphilia involving non-consenting individual,0,na
434318,Paraphrenia,0,na
4112929,Parasitophobia,0,na
437255,Passive aggressive personality disorder,0,na
441550,Pedophilia,0,na
4024707,Perception AND/OR perception disturbance,0,na
37016267,Perceptual disturbance due to alcohol withdrawal,0,na
4087190,Performance anxiety,0,na
4232639,Persecutory delusion disorder,1,schizo
4195445,Perseveration,0,na
37311515,Persistent adjustment disorder,0,na
4109691,Persistent alcohol abuse,0,na
4335168,Persistent delusional disorder,1,psychosis
4025218,Personality AND/OR personality trait,0,na
444092,Personality change,0,na
44782790,Personality change due to organic disorder,0,na
441838,Personality disorder,0,na
43020503,Pervasive developmental disorder of residual state,0,na
440985,Phobia,0,na
4304010,Phobic disorder,0,na
4238682,Physical AND emotional exhaustion state,0,na
4207981,Physical stress,0,na
437839,Pica,0,na
4100683,Pica of infancy and childhood,0,na
4096147,Poor concentration,0,na
4012352,Poor self-esteem,0,na
4229086,Post-encephalitic syndrome,0,na
372610,Postconcussion syndrome,0,na
4064308,Postencephalitic parkinsonism,0,na
4239471,Postpartum depression,0,na
4057246,Postpartum psychosis,0,na
436676,Posttraumatic stress disorder,1,PTSD
4202389,"Posttraumatic stress disorder, delayed onset",1,PTSD
4147345,Pregnancy with mental disorders,0,na
4242733,Premenstrual dysphoric disorder,0,na
4333667,Presbyophrenic psychosis,0,na
378125,Presenile dementia,0,na
381832,Presenile dementia with delirium,0,na
44782771,Presenile dementia with delusions,0,na
377527,Presenile dementia with depression,0,na
4218017,"Primary degenerative dementia of the Alzheimer type, presenile onset",0,na
4277444,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated",0,na
4220313,"Primary degenerative dementia of the Alzheimer type, senile onset",0,na
4278830,"Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated",0,na
4307951,Primary dysthymia,1,depression
438733,Profound intellectual disability,0,na
433751,Prolonged depressive adjustment reaction,1,depression
380844,Prolonged loss of consciousness,0,na
439790,Psychalgia,0,na
4080762,Psychoactive substance dependence,0,na
4004672,Psychoactive substance use disorder,0,na
37110468,Psychoactive substance withdrawal without complication,0,na
4307098,Psychoactive substance-induced organic amnestic disorder,0,na
4178114,Psychoactive substance-induced organic anxiety disorder,0,na
4191592,Psychoactive substance-induced organic delirium,0,na
443930,Psychoactive substance-induced organic delusional disorder,0,na
4009647,Psychoactive substance-induced organic dementia,0,na
4155336,Psychoactive substance-induced organic hallucinosis,0,na
375504,Psychoactive substance-induced organic mental disorder,0,na
444038,Psychoactive substance-induced organic mood disorder,0,na
4192127,Psychoactive substance-induced withdrawal syndrome,0,na
4075218,Psychodynamic finding,0,na
444259,Psychogenic amnesia,0,na
436958,Psychogenic dysmenorrhea,0,na
438410,Psychogenic dysuria,0,na
434017,Psychogenic endocrine malfunction,0,na
444079,Psychogenic fugue,0,na
438408,Psychogenic genitourinary tract symptoms,0,na
4283532,Psychogenic headache,0,na
4103431,Psychogenic hyperventilation,0,na
4173812,Psychogenic overeating,0,na
440983,Psychogenic paranoid psychosis,1,psychosis
4049477,Psychogenic polydipsia,0,na
440993,Psychogenic skin disease,0,na
437534,Psychogenic symptom of special sense organ,0,na
4302523,Psychogenic syncope,0,na
4272467,Psychogenic voice disorder,0,na
441546,Psychogenic vomiting,0,na
4049367,Psychologic conversion disorder,0,na
442324,Psychologic dyspareunia,0,na
198131,Psychologic vaginismus,0,na
43020441,Psychological disorder during pregnancy,0,na
4085024,Psychological finding of perception,0,na
435521,Psychophysiologic disorder,0,na
4138617,Psychophysiologic insomnia,0,na
436666,Psychosexual disorder,0,na
439701,Psychosexual identity disorder,0,na
35622934,Psychosis and severe depression co-occurrent and due to bipolar affective disorder,1,bipolar
4094235,Psychosomatic factor in physical condition,0,na
440981,Psychosomatic musculoskeletal symptoms,0,na
436073,Psychotic disorder,1,psychosis
37110437,Psychotic disorder caused by cocaine,0,na
37108954,Psychotic disorder caused by methamphetamine,0,na
37110472,Psychotic disorder caused by psychoactive substance,0,na
42539146,Psychotic disorder caused by stimulant,0,na
44784619,Psychotic disorder due to amphetamine use,0,na
4088165,Psychotic symptom finding,1,psychosis
4090920,Psychotic symptom present,1,psychosis
434629,Pyromania,0,na
37312578,Rapid cycling bipolar II disorder,1,bipolar
4216421,Reactive attachment disorder,0,na
4185575,Reactive attachment disorder of early childhood,0,na
4009182,"Reactive attachment disorder of infancy OR early childhood, disinhibited type",0,na
441540,Reactive confusion,0,na
4314692,Reactive depression (situational),1,depression
435520,Reactive depressive psychosis,1,psychosis
435237,Reactive psychoses,1,psychosis
4262415,Recurrent conversion disorder,0,na
4098302,Recurrent depression,1,depression
4282316,Recurrent major depression,1,depression
4263748,Recurrent major depression in full remission,1,depression
4141454,Recurrent major depression in partial remission,1,depression
433991,Recurrent major depression in remission,1,depression
35615155,Recurrent major depressive disorder in partial remission co-occurrent with anxiety,1,depression
4304140,Recurrent major depressive disorder with atypical features,1,depression
4205471,Recurrent major depressive disorder with melancholic features,1,depression
4324959,Recurrent major depressive disorder with postpartum onset,0,na
432285,Recurrent major depressive episodes,1,depression
438998,"Recurrent major depressive episodes, mild",1,depression
432883,"Recurrent major depressive episodes, moderate",1,depression
434911,"Recurrent major depressive episodes, severe, with psychosis",1,depression
437249,Recurrent manic episodes,1,bipolar
437831,"Recurrent manic episodes, in full remission",1,bipolar
438119,"Recurrent manic episodes, mild",1,bipolar
438405,"Recurrent manic episodes, moderate",1,bipolar
35615153,Recurrent moderate major depressive disorder co-occurrent with anxiety,1,depression
35615152,Recurrent severe major depressive disorder co-occurrent with anxiety,1,depression
4084562,Reduced concentration,0,na
4085043,Reduced concentration span,0,na
439702,Residual infantile autism,0,na
439004,Residual schizophrenia,1,schizo
440686,Residual schizophrenia in remission,1,schizo
4168212,Restlessness and agitation,0,na
4288480,Rett's disorder,0,na
4242221,Rumination disorder,0,na
4262968,Rumination disorder of infancy,0,na
4318861,Sadomasochism,0,na
4286201,Schizoaffective disorder,1,schizo
4244078,"Schizoaffective disorder, bipolar type",1,schizo
4224940,"Schizoaffective disorder, depressive type",1,schizo
432597,Schizoaffective schizophrenia,1,schizo
434321,Schizoaffective schizophrenia in remission,1,schizo
440085,Schizoid personality disorder,0,na
435783,Schizophrenia,1,schizo
435219,Schizophrenia in remission,1,schizo
4100365,Schizophrenic disorders,1,schizo
4085662,Schizophrenic prodrome,1,schizo
4012112,Schizophrenic reaction,1,schizo
444434,Schizophreniform disorder,1,schizo
434010,Schizotypal personality disorder,0,na
4155074,School phobia,0,na
4092239,Seasonal affective disorder,0,na
4088132,Seasonal variation of mood,0,na
4224639,Secondary dysthymia,1,depression
37109941,Secondary mood disorder,0,na
4077017,Sedated,0,na
4262566,Sedative withdrawal delirium,0,na
4184438,"Sedative, hypnotic AND/OR anxiolytic intoxication delirium",0,na
4056690,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",0,na
4103853,"Sedative, hypnotic AND/OR anxiolytic-induced mood disorder",0,na
4199244,"Sedative, hypnotic AND/OR anxiolytic-induced persisting amnestic disorder",0,na
4171175,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations",0,na
4239812,"Sedative, hypnotic AND/OR anxiolytic-induced sleep disorder",0,na
4193868,"Sedative, hypnotic AND/OR anxiolytic-related disorder",0,na
4274636,Self-esteem disturbance,0,na
4152048,Senile and presenile organic psychotic conditions,1,psychosis
4048875,Senile dementia,0,na
4196433,Senile dementia of the Lewy body type,0,na
376946,Senile dementia with delirium,0,na
380986,Senile dementia with delusion,0,na
379784,Senile dementia with depression,0,na
4101137,Senile dementia with depressive or paranoid features,0,na
444223,Sense of smell altered,0,na
4148702,Sensitivity,0,na
4158322,Sensory agnosia,0,na
4021646,Sensory distortion,0,na
434628,Separation anxiety,0,na
4039212,Separation anxiety disorder of childhood,0,na
37017563,Severe alcohol dependence,0,na
4214746,Severe anxiety (panic),1,anxiety
4155798,Severe bipolar disorder,1,bipolar
4195158,Severe bipolar disorder with psychotic features,1,bipolar
4200385,Severe bipolar disorder without psychotic features,1,bipolar
4154283,Severe bipolar I disorder,1,bipolar
4220617,"Severe bipolar I disorder, single manic episode with psychotic features",1,bipolar
4030856,"Severe bipolar I disorder, single manic episode without psychotic features",1,bipolar
4161200,Severe bipolar II disorder,1,bipolar
42872413,Severe depressed bipolar I disorder,1,bipolar
436386,Severe depressed bipolar I disorder with psychotic features,1,bipolar
442570,Severe depressed bipolar I disorder without psychotic features,1,bipolar
4149321,Severe depression,1,depression
432898,Severe intellectual disability,0,na
42872722,Severe major depression,1,depression
4250023,Severe major depression with psychotic features,1,depression
4144233,"Severe major depression with psychotic features, mood-congruent",1,depression
4327337,Severe major depression without psychotic features,1,depression
42872411,"Severe major depression, single episode",1,depression
438406,"Severe major depression, single episode, with psychotic features",1,depression
441534,"Severe major depression, single episode, without psychotic features",1,depression
43020451,Severe manic bipolar I disorder,1,bipolar
4102603,Severe manic bipolar I disorder with psychotic features,1,bipolar
443797,Severe manic bipolar I disorder without psychotic features,1,bipolar
42872412,Severe mixed bipolar I disorder,1,bipolar
439001,Severe mixed bipolar I disorder with psychotic features,1,bipolar
372599,Severe mixed bipolar I disorder without psychotic features,1,bipolar
4129184,Severe postnatal depression,0,na
43531624,Severe recurrent major depression,1,depression
4154309,Severe recurrent major depression with psychotic features,1,depression
4141292,"Severe recurrent major depression with psychotic features, mood-congruent",1,depression
435220,Severe recurrent major depression without psychotic features,1,depression
4208120,Sexual aversion disorder,0,na
4186941,Sexual desire disorder,0,na
436674,Sexual masochism,0,na
442352,Sexual sadism,0,na
4100089,Sibling jealousy,0,na
440684,Simple paranoid state,0,na
4182847,Simple phobia,0,na
436067,Simple schizophrenia,1,schizo
4025677,Single episode of major depression in full remission,1,depression
439259,"Single major depressive episode, severe, with psychosis",1,depression
439261,Single manic episode in full remission,1,bipolar
44805552,Single manic episode in partial remission,1,bipolar
44805553,Single manic episode in remission,1,bipolar
439273,"Single manic episode, mild",1,bipolar
439272,"Single manic episode, moderate",1,bipolar
439262,"Single manic episode, severe, with psychosis",1,bipolar
4121812,Situational syncope,0,na
4305303,Sleep deprivation,0,na
40482080,Sleep related hallucinations,0,na
4175644,Sleep state misperception,0,na
4084709,Social fear,0,na
440690,Social phobia,0,na
4103276,"Social phobia, fear of public speaking",0,na
432877,Socialized behavior disorder,0,na
4140988,Somatic delusion disorder,0,na
441545,Somatization disorder,0,na
4333680,Somatoform autonomic dysfunction,0,na
437536,Somatoform autonomic dysfunction - gastrointestinal tract,0,na
437841,Somatoform autonomic dysfunction - respiratory tract,0,na
435784,Somatoform disorder,0,na
4107375,Somatoform pain disorder,0,na
4147972,Specific academic or work inhibition,0,na
4085677,Specific fear,0,na
441544,Specific nonpsychotic mental disorders following organic brain damage,0,na
4102979,Specific reading disorder,0,na
4207660,Stereotypy habit disorder,0,na
4251306,Stress,0,na
4152371,Stress and adjustment reaction,0,na
37018883,Stress due to family tension,0,na
432600,Stress reaction causing mixed disturbance of emotion and conduct,0,na
439437,Stress-related problem,0,na
4229897,Stupor,0,na
379779,Subacute delirium,0,na
433990,Subchronic catatonic schizophrenia,1,schizo
438724,Subchronic disorganized schizophrenia,1,schizo
436384,Subchronic disorganized schizophrenia with acute exacerbations,1,schizo
440077,Subchronic latent schizophrenia,1,schizo
432299,Subchronic paranoid schizophrenia,1,schizo
433442,Subchronic residual schizophrenia,1,schizo
444396,Subchronic residual schizophrenia with acute exacerbations,1,schizo
433443,Subchronic schizoaffective schizophrenia,1,schizo
440373,Subchronic schizophrenia,1,schizo
432598,Subchronic schizophrenia with acute exacerbations,1,schizo
4310121,Subchronic undifferentiated schizophrenia,1,schizo
42538857,Subcortical dementia,0,na
4047747,Subcortical vascular dementia,0,na
37117049,Substance induced psychotic disorder,0,na
432436,Symbolic dysfunction,0,na
135360,Syncope,0,na
4206148,Syncope and collapse,0,na
4162208,Syncope due to orthostatic hypotension,0,na
4225265,Synesthesia,0,na
4280834,Tactile hallucinations,1,psychosis
4252589,Tangential thinking,0,na
4274248,Thought process - finding,0,na
4177975,Thyrotoxicosis factitia,0,na
4229431,Thyrotoxicosis factitia with thyrotoxic crisis,0,na
381839,Tic disorder,0,na
4162499,Transient altered mental status,0,na
443586,Transient organic mental disorder,0,na
4098166,Transient organic psychoses,1,psychosis
4210636,Transient tic disorder,0,na
4047745,Traumatic encephalopathy,0,na
4062972,Trichotillomania,0,na
4234105,Tussive syncope,0,na
4243064,Unable to concentrate,0,na
4135232,Unaggressive type unsocialized behavior disorder,0,na
4310679,Uncomplicated alcohol withdrawal,0,na
376085,Uncomplicated presenile dementia,0,na
375791,Uncomplicated senile dementia,0,na
4049391,Undifferentiated attention deficit disorder,0,na
4008566,Undifferentiated schizophrenia,1,schizo
434625,Undifferentiated somatoform disorder,0,na
4309389,Unresponsive,0,na
4082439,Unusual smell in nose,0,na
443605,Vascular dementia,0,na
37018688,Vascular dementia with behavioral disturbance,0,na
37109056,Vascular dementia without behavioral disturbance,0,na
4162976,Vasovagal syncope,0,na
4085036,Verbal auditory hallucinations,0,na
4037738,Visual alteration,0,na
4275889,Visual hallucinations,1,psychosis
4116731,Visuospatial agnosia,0,na
4021798,Volatile Mood,0,na
434624,Voyeurism,0,na
443436,Wakefulness finding,0,na
4074314,Working through the pain of grief,0,na
4193634,Worried,0,na
4184002,Zoophobia,0,na
