concept_id,concept_name,Keep,hx
439253,"Bipolar affective disorder, currently depressed, mild",1,bipolar
437528,"Bipolar affective disorder, currently depressed, moderate",1,bipolar
439255,"Bipolar affective disorder, currently manic, in full remission",1,bipolar
441834,"Bipolar affective disorder, currently manic, mild",1,bipolar
433992,"Bipolar affective disorder, currently manic, moderate",1,bipolar
439256,"Bipolar affective disorder, currently manic, severe, with psychosis",1,bipolar
35624745,"Bipolar affective disorder, most recent episode mixed",1,bipolar
436665,Bipolar disorder,1,bipolar
4220618,Bipolar disorder in full remission,1,bipolar
436072,Bipolar disorder in partial remission,1,bipolar
4310821,Bipolar disorder in remission,1,bipolar
35624743,"Bipolar disorder, most recent episode depression",1,bipolar
35624744,"Bipolar disorder, most recent episode manic",1,bipolar
432876,Bipolar I disorder,1,bipolar
4071442,"Bipolar I disorder, most recent episode depressed with catatonic features",1,bipolar
35624748,"Bipolar I disorder, most recent episode depression",1,bipolar
4150985,"Bipolar I disorder, most recent episode hypomanic",1,bipolar
35624747,"Bipolar I disorder, most recent episode manic",1,bipolar
432866,"Bipolar I disorder, single manic episode",1,bipolar
4148842,"Bipolar I disorder, single manic episode, in full remission",1,bipolar
4327669,"Bipolar I disorder, single manic episode, in remission",1,bipolar
4307956,Bipolar II disorder,1,bipolar
4172156,"Bipolar II disorder, most recent episode hypomanic",1,bipolar
4037669,"Bipolar II disorder, most recent episode major depressive",1,bipolar
4185096,"Bipolar II disorder, most recent episode major depressive with atypical features",1,bipolar
4144519,"Bipolar II disorder, most recent episode major depressive with melancholic features",1,bipolar
4148934,"Bipolar II disorder, most recent episode major depressive with postpartum onset",0,na
37109940,Bipolar type I disorder currently in full remission,1,bipolar
37117177,Bipolar type II disorder currently in full remission,1,bipolar
4306640,Body dysmorphic disorder,0,na
4080561,Body image finding,0,na
4299505,Borderline intellectual disability,0,na
434626,Borderline personality disorder,0,na
4168389,Borderline schizophrenia,1,schizo
4107230,Brain fag,0,na
440698,Brief depressive adjustment reaction,0,na
381135,Brief loss of consciousness,0,na
4182683,Brief reactive psychosis,1,psychosis
438407,Bulimia nervosa,0,na
4139256,"Bulimia nervosa, purging type",0,na
4155087,C/O - feeling depressed,1,depression
4150393,C/O tearfulness,0,na
4116267,Callous character,0,na
4272313,Cannabis delusional disorder,0,na
4220197,Cannabis intoxication delirium,0,na
4221077,Cannabis-induced anxiety disorder,0,na
4300092,Cannabis-induced organic mental disorder,0,na
4097389,Cannabis-induced psychotic disorder with hallucinations,0,na
